title,description
"Computer, Automated Teller, and Office Machine Repairers","Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines."
"Radio, Cellular, and Tower Equipment Installers and Repairers","Repair, install or maintain mobile or stationary radio transmitting, broadcasting, and receiving equipment, and two-way radio communications systems used in cellular telecommunications, mobile broadband, ship-to-shore, aircraft-to-ground communications, and radio equipment in service and emergency vehicles. May test and analyze network coverage."
Radio Mechanics,Test or repair mobile or stationary radio transmitting and receiving equipment and two-way radio communications systems used in ship-to-shore communications and found in service and emergency vehicles.
"Telecommunications Equipment Installers and Repairers, Except Line Installers","Install, set-up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends. Service or repair telephone, cable television, Internet, and other communications equipment on customers' property. May install communications equipment or communications wiring in buildings."
Avionics Technicians,"Install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles."
"Electric Motor, Power Tool, and Related Repairers","Repair, maintain, or install electric motors, wiring, or switches."
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Install, adjust, or maintain mobile electronics communication equipment, including sound, sonar, security, navigation, and surveillance systems on trains, watercraft, or other mobile equipment."
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Repair, test, adjust, or install electronic equipment, such as industrial controls, transmitters, and antennas."
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Inspect, test, repair, or maintain electrical equipment in generating stations, substations, and in-service relays."
"Electronic Equipment Installers and Repairers, Motor Vehicles","Install, diagnose, or repair communications, sound, security, or navigation equipment in motor vehicles."
Electronic Home Entertainment Equipment Installers and Repairers,"Repair, adjust, or install audio or television receivers, stereo systems, camcorders, video systems, or other electronic home entertainment equipment."
Security and Fire Alarm Systems Installers,"Install, program, maintain, or repair security or fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes."
Aircraft Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems. Includes helicopter and aircraft engine specialists."
Automotive Body and Related Repairers,Repair and refinish automotive vehicle bodies and straighten vehicle frames.
Automotive Glass Installers and Repairers,Replace or repair broken windshields and window glass in motor vehicles.
Automotive Service Technicians and Mechanics,"Diagnose, adjust, repair, or overhaul automotive vehicles."
Automotive Master Mechanics,"Repair automobiles, trucks, buses, and other vehicles. Master mechanics repair virtually any part on the vehicle or specialize in the transmission system."
Automotive Specialty Technicians,"Repair only one system or component on a vehicle, such as brakes, suspension, or radiator."
Bus and Truck Mechanics and Diesel Engine Specialists,"Diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines. Includes mechanics working primarily with automobile or marine diesel engines."
Farm Equipment Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems."
"Mobile Heavy Equipment Mechanics, Except Engines","Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and surface mining."
Rail Car Repairers,"Diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or mass transit rail cars."
Motorboat Mechanics and Service Technicians,Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.
Motorcycle Mechanics,"Diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt bikes, or similar motorized vehicles."
Outdoor Power Equipment and Other Small Engine Mechanics,"Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment and related equipment."
Bicycle Repairers,Repair and service bicycles.
Recreational Vehicle Service Technicians,"Diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers. May specialize in maintaining gas, electrical, hydraulic, plumbing, or chassis/towing systems as well as repairing generators, appliances, and interior components. Includes workers who perform customized van conversions."
Tire Repairers and Changers,Repair and replace tires.
Mechanical Door Repairers,"Install, service, or repair automatic door mechanisms and hydraulic doors. Includes garage door mechanics."
"Control and Valve Installers and Repairers, Except Mechanical Door","Install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors."
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Install or repair heating, central air conditioning, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves."
Heating and Air Conditioning Mechanics and Installers,"Install, service, or repair heating and air conditioning systems in residences or commercial establishments."
Refrigeration Mechanics and Installers,Install and repair industrial and commercial refrigerating systems.
Home Appliance Repairers,"Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens."
Industrial Machinery Mechanics,"Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems."
"Maintenance Workers, Machinery","Lubricate machinery, change parts, or perform other routine machinery maintenance."
Millwrights,"Install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings."
"Refractory Materials Repairers, Except Brickmasons","Build or repair equipment such as furnaces, kilns, cupolas, boilers, converters, ladles, soaking pits and ovens, using refractory materials."
Electrical Power-Line Installers and Repairers,Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.
Telecommunications Line Installers and Repairers,"Install and repair telecommunications cable, including fiber optics."
Camera and Photographic Equipment Repairers,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment."
Medical Equipment Repairers,"Test, adjust, or repair biomedical or electromedical equipment."
Musical Instrument Repairers and Tuners,"Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning."
Watch Repairers,"Repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks. Includes watchmakers, watch technicians, and mechanical timepiece repairers."
"Precision Instrument and Equipment Repairers, All Other",All precision instrument and equipment repairers not listed separately.
"Maintenance and Repair Workers, General","Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of an establishment in repair. Duties may involve pipe fitting; boiler making; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs."
Wind Turbine Service Technicians,"Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions."
"Coin, Vending, and Amusement Machine Servicers and Repairers","Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines."
Commercial Divers,"Work below surface of water, using scuba gear to inspect, repair, remove, or install equipment and structures. May use a variety of power and hand tools, such as drills, sledgehammers, torches, and welding equipment. May conduct tests or experiments, rig explosives, or photograph structures or marine life."
"Fabric Menders, Except Garment","Repair tears, holes, and other defects in fabrics, such as draperies, linens, parachutes, and tents."
Locksmiths and Safe Repairers,Repair and open locks; make keys; change locks and safe combinations; and install and repair safes.
Manufactured Building and Mobile Home Installers,Move or install mobile homes or prefabricated buildings.
Riggers,"Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry."
Signal and Track Switch Repairers,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system."
"Helpers--Installation, Maintenance, and Repair Workers","Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers."
"Installation, Maintenance, and Repair Workers, All Other","All installation, maintenance, and repair workers not listed separately."
Geothermal Technicians,"Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps."
First-Line Supervisors of Production and Operating Workers,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators."
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems."
"Coil Winders, Tapers, and Finishers","Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment."
Electrical and Electronic Equipment Assemblers,"Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries."
Electromechanical Equipment Assemblers,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances."
Engine and Other Machine Assemblers,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing."
Structural Metal Fabricators and Fitters,"Fabricate, position, align, and fit parts of structural metal products."
Fiberglass Laminators and Fabricators,"Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products."
Team Assemblers,Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.
Timing Device Assemblers and Adjusters,"Perform precision assembling, adjusting, or calibrating, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components."
"Assemblers and Fabricators, All Other",All assemblers and fabricators not listed separately.
Bakers,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods."
Butchers and Meat Cutters,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments."
"Meat, Poultry, and Fish Cutters and Trimmers","Use hand or hand tools to perform routine cutting and trimming of meat, poultry, and seafood."
Slaughterers and Meat Packers,"Work in slaughtering, meat packing, or wholesale establishments performing precision functions involving the preparation of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats."
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment."
Food Batchmakers,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.
Food Cooking Machine Operators and Tenders,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products."
"Food Processing Workers, All Other",All food processing workers not listed separately.
"Computer-Controlled Machine Tool Operators, Metal and Plastic",Operate computer-controlled machines or robots to perform one or more machine functions on metal or plastic work pieces.
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","Develop programs to control machining or processing of metal or plastic parts by automatic machine tools, equipment, or systems."
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes."
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts."
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate or to flatten, temper, or reduce gauge of material."
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material."
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces."
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces."
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock."
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces."
Machinists,"Set up and operate a variety of machine tools to produce precision parts and instruments. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures."
Metal-Refining Furnace Operators and Tenders,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel."
"Pourers and Casters, Metal",Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.
"Model Makers, Metal and Plastic","Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects. Includes template makers."
"Patternmakers, Metal and Plastic","Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates."
Foundry Mold and Coremakers,Make or form wax or sand cores or molds used in the production of metal castings in foundries.
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products."
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend more than one type of cutting or forming machine tool or robot."
Tool and Die Makers,"Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools."
"Welders, Cutters, Solderers, and Brazers","Use hand-welding, flame-cutting, hand soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products."
"Welders, Cutters, and Welder Fitters","Use hand-welding or flame-cutting equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products."
Solderers and Brazers,"Braze or solder together components to assemble fabricated metal parts, using soldering iron, torch, or welding machine and flux."
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies. Includes workers who operate laser cutters or laser-beam machines."
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat-treat metal or plastic objects."
"Layout Workers, Metal and Plastic","Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters."
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Includes electrolytic processes."
"Tool Grinders, Filers, and Sharpeners","Perform precision smoothing, sharpening, polishing, or grinding of metal objects."
"Metal Workers and Plastic Workers, All Other",All metal workers and plastic workers not listed separately.
Prepress Technicians and Workers,Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.
Printing Press Operators,"Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses."
Print Binding and Finishing Workers,Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.
Laundry and Dry-Cleaning Workers,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles."
"Pressers, Textile, Garment, and Related Materials",Press or shape articles by hand or machine.
Sewing Machine Operators,"Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products."
Shoe and Leather Workers and Repairers,"Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles."
Shoe Machine Operators and Tenders,"Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts."
"Sewers, Hand","Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers."
"Tailors, Dressmakers, and Custom Sewers","Design, make, alter, repair, or fit garments."
Textile Bleaching and Dyeing Machine Operators and Tenders,"Operate or tend machines to bleach, shrink, wash, dye, or finish textiles or synthetic or glass fibers."
"Textile Cutting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut textiles."
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that knit, loop, weave, or draw in textiles."
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that wind or twist textiles; or draw out and combine sliver, such as wool, hemp, or synthetic fibers. Includes slubber machine and drawing frame operators."
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass."
Fabric and Apparel Patternmakers,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.
Upholsterers,"Make, repair, or replace upholstery for household furniture or transportation vehicles."
"Textile, Apparel, and Furnishings Workers, All Other","All textile, apparel, and furnishings workers not listed separately."
Cabinetmakers and Bench Carpenters,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products."
Furniture Finishers,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish."
"Model Makers, Wood",Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.
"Patternmakers, Wood","Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings."
"Sawing Machine Setters, Operators, and Tenders, Wood","Set up, operate, or tend wood sawing machines. May operate CNC equipment. Includes lead sawyers."
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines. May operate CNC equipment."
"Woodworkers, All Other",All woodworkers not listed separately.
Nuclear Power Reactor Operators,"Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action."
Power Distributors and Dispatchers,"Coordinate, regulate, or distribute electricity or steam."
Power Plant Operators,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators."
Stationary Engineers and Boiler Operators,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment, such as steam engines, generators, motors, turbines, and steam boilers."
Water and Wastewater Treatment Plant and System Operators,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater."
Chemical Plant and System Operators,Control or operate entire chemical processes or system of machines.
Gas Plant Operators,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines."
"Plant and System Operators, All Other",All plant and system operators not listed separately.
Biofuels Processing Technicians,"Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections."
Methane/Landfill Gas Generation System Technicians,"Monitor, operate, and maintain landfill gas collection system components and environmental monitoring and control systems."
Biomass Plant Technicians,Control and monitor biomass plant activities and perform maintenance as needed.
Hydroelectric Plant Technicians,"Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary."
Chemical Equipment Operators and Tenders,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels."
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators."
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber."
"Grinding and Polishing Workers, Hand","Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers."
"Mixing and Blending Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients."
"Cutters and Trimmers, Hand","Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber."
"Cutting and Slicing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material."
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines, such as glass forming machines, plodder machines, and tuber machines, to shape and form products, such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics."
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities, such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap."
"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment."
Jewelers and Precious Stone and Metal Workers,"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems. Includes diamond polishers and gem cutters, and persons who perform precision casting and modeling of molds, casting metal in molds, or setting precious and semi-precious stones for jewelry and related products."
Jewelers,Fabricate and repair jewelry articles. Make models or molds to create jewelry items.
Gem and Diamond Workers,"Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools."
Precious Metal Workers,"Cast, anneal, solder, hammer, or shape gold, silver, pewter or other metals to form jewelry or other metal items such as goblets or candlesticks."
Dental Laboratory Technicians,Construct and repair full or partial dentures or dental appliances.
Medical Appliance Technicians,"Construct, fit, maintain, or repair medical supportive devices, such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances."
Ophthalmic Laboratory Technicians,"Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters."
Packaging and Filling Machine Operators and Tenders,Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials."
"Painters, Transportation Equipment","Operate or tend painting machines to paint surfaces of transportation equipment, such as automobiles, buses, trucks, trains, boats, and airplanes. Includes painters in auto body repair facilities."
"Painting, Coating, and Decorating Workers","Paint, coat, or decorate articles such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather."
Semiconductor Processors,"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties."
Photographic Process Workers and Processing Machine Operators,Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.
Adhesive Bonding Machine Operators and Tenders,"Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials."
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities."
Cooling and Freezing Equipment Operators and Tenders,"Operate or tend equipment, such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals."
Etchers and Engravers,"Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers."
"Molders, Shapers, and Casters, Except Metal and Plastic","Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials."
"Stone Cutters and Carvers, Manufacturing",Cut or carve stone according to diagrams and patterns.
"Glass Blowers, Molders, Benders, and Finishers",Shape molten glass according to patterns.
"Potters, Manufacturing","Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products."
Molding and Casting Workers,"Perform a variety of duties such as mixing materials, assembling mold parts, filling molds, and stacking molds to mold and cast a wide range of products."
"Paper Goods Machine Setters, Operators, and Tenders","Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products."
Tire Builders,Operate machines to build tires.
Helpers--Production Workers,"Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment."
"Production Workers, All Other",All production workers not listed separately.
Recycling and Reclamation Workers,Prepare and sort materials or products for recycling. Identify and remove hazardous substances. Dismantle components of products such as appliances.
Aircraft Cargo Handling Supervisors,"Supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. May determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures. Includes loadmasters."
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","Directly supervise and coordinate the activities of helpers, laborers, or material movers."
Recycling Coordinators,Supervise curbside and drop-off recycling programs for municipal governments or private firms.
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of transportation and material-moving machine and vehicle operators and helpers.
"Airline Pilots, Copilots, and Flight Engineers","Pilot and navigate the flight of fixed-wing, multi-engine aircraft, usually on scheduled air carrier routes, for the transport of passengers and cargo. Requires Federal Air Transport Pilot certificate and rating for specific aircraft type used. Includes regional, National, and international airline pilots and flight instructors of airline pilots."
Commercial Pilots,"Pilot and navigate the flight of fixed-winged aircraft on nonscheduled air carrier routes, or helicopters. Requires Commercial Pilot certificate. Includes charter pilots with similar certification, and air ambulance and air tour pilots."
Air Traffic Controllers,"Control air traffic on and within vicinity of airport and movement of air traffic between altitude sectors and control centers according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety."
Airfield Operations Specialists,Ensure the safe takeoff and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel; dispatching; using airfield landing and navigational aids; implementing airfield safety procedures; monitoring and maintaining flight records; and applying knowledge of weather information.
Flight Attendants,"Provide personal services to ensure the safety, security, and comfort of airline passengers during flight. Greet passengers, verify tickets, explain use of safety equipment, and serve food or beverages."
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons. Assist in lifting patients."
"Bus Drivers, Transit and Intercity","Drive bus or motor coach, including regular route operations, charters, and private carriage. May assist passengers with baggage. May collect fares or tickets."
"Bus Drivers, School or Special Client","Transport students or special clients, such as the elderly or persons with disabilities. Ensure adherence to safety rules. May assist passengers in boarding or exiting."
Driver/Sales Workers,"Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery. Includes newspaper delivery drivers."
